param,Description,Category1,Category2,Component,Notes
z0mr,Ratio of momentum roughness length to canopy top height,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Plant canopy,
cv,Turbulent transfer coefficient between canopy surface and canopy air,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Plant canopy,
displar,Ratio of displacement height to canopy top height,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Plant canopy,
zsno,Momentum roughness length for snow,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Snow,
accum_factor,Accumulation constant for fractional snow covered area,Snow processes,Snow processes,Snow,
C2_liq_Brun89,"Constant for liquid water grain growth [m3 s-1],from Brun89: corrected for LWC in units of percent",Snow processes,Snow processes,Snow,
ceta,overburden compaction constant,Snow processes,Snow processes,Snow,
drift_gs,wind drift compaction / grain size (fixed value for now),Snow processes,Snow processes,Snow,
eta0_vionnet,Snow viscosity coefficient (kg-s/m2),Snow processes,Snow processes,Snow,
n_melt_coef,Parameter controlling shape of snow covered area,Snow processes,Snow processes,Snow,
rho_max,wind drift compaction / maximum density,Snow processes,Snow processes,Snow,
scvng_fct_mlt_sf,"scaling factor modifying scavenging factors for BC, OC, and dust species inclusion in meltwater",Snow processes,Snow processes,Snow,
snowcan_unload_temp_fact,temp. canopy snow unload scaling,Snow processes,Snow processes,Snow,
snowcan_unload_wind_fact,wind canopy snow unload scaling,Snow processes,Snow processes,Snow,
snw_rds_refrz,effective radius of re-frozen snow [microns],Snow processes,Snow processes,Snow,
ssi,Irreducible water saturation of snow,Snow processes,Snow processes,Snow,
tau_ref,wind drift compaction / reference time,Snow processes,Snow processes,Snow,
upplim_destruct_metamorph,Upper lim. for snow densification through desctructive metamorphism,Snow processes,Snow processes,Snow,
wimp,Water impremeable if porosity less than wimp,Snow processes,Snow processes,Snow,
wind_snowcompact_fact,Reference wind above which frsh snow density is (substantially) increased.,Snow processes,Snow processes,Snow,
z_dl,Litter layer thickness,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Soil,
rf_l1s1_bgc,Respiration fraction for litter 1 -> SOM 1,Decomposition,Soil decomposition,Soil,
rf_l2s1_bgc,respiration fraction litter 2 to SOM 1,Decomposition,Soil decomposition,Soil,
rf_l3s2_bgc,respiration fraction from litter 3 to SOM 2,Decomposition,Soil decomposition,Soil,
rf_s2s1_bgc,respiration fraction SOM 2 to SOM 1,Decomposition,Soil decomposition,Soil,
rf_s2s3_bgc,Respiration fraction for SOM 2 -> SOM 3,Decomposition,Soil decomposition,Soil,
rf_s3s1_bgc,respiration fraction SOM 3 to SOM 1,Decomposition,Soil decomposition,Soil,
tau_l1,1/Turnover time of litter 1,Decomposition,Soil decomposition,Soil,
tau_l2_l3,1/Turnover time of litter 2 and litter 3,Decomposition,Soil decomposition,Soil,
tau_s1,1/Turnover time of soil organic matter (SOM) 1,Decomposition,Soil decomposition,Soil,
tau_s2,1/Turnover time of soil organic matter (SOM) 2,Decomposition,Soil decomposition,Soil,
tau_s3,1/Turnover time of soil organic matter (SOM) 3,Decomposition,Soil decomposition,Soil,
decomp_depth_efolding,depth control on decomposition rates,Decomposition,Soil decomposition,Soil,
som_diffus,Vertical soil organic matter diffusion coefficient for flat adv/diff profile,Decomposition,Soil decomposition,Soil,
tau_cwd,Corrected fragmentation rate constant CWD,Decomposition,Soil decomposition,Soil,
cn_s3_bgc,C:N for SOM pool 3,Decomposition,Soil decomposition,Soil,
maxpsi_hr,Maximum soil water potential for heterotrophic resp,Decomposition,Soil decomposition,Soil,
minpsi_hr,minimum soil water potential for heterotrophic resp,Decomposition,Soil decomposition,Soil,
cryoturb_diffusion_k,cryoturb_diffusion_k,Decomposition,Soil decomposition,Soil,
max_altdepth_cryoturbation,Maximum active layer thickness for cryoturbation to occur,Decomposition,Soil decomposition,Soil,
max_altmultiplier_cryoturb,Ratio of the maximum extent of cryoturbation to the active layer thickness,Decomposition,Soil decomposition,Soil,
Q10,multiple parameters perturbed together: q10_hr (Q10 for heterotrophic respiration) and froz_q10 (Separate q10 for frozen soil respiration rates),Decomposition,Soil decomposition,Soil,
CWD,"multiple parameters perturbed together: CWD (cwd_fcel, cwd_flig)",Decomposition,Soil decomposition,Soil,
