,param_name,biome,criteria,rank,variable,measure
0,zetamaxstable,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,1,EFLX_LH_TOT,mean
1,zsno,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,2,EFLX_LH_TOT,mean
2,snw_rds_refrz,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,3,EFLX_LH_TOT,mean
3,upplim_destruct_metamorph,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,4,EFLX_LH_TOT,mean
4,xdrdt,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,5,EFLX_LH_TOT,mean
5,zsno,Ice sheet,EFLX_LH_TOT_iav_Ice sheet,1,EFLX_LH_TOT,iav
6,zetamaxstable,Ice sheet,EFLX_LH_TOT_iav_Ice sheet,2,EFLX_LH_TOT,iav
7,snw_rds_refrz,Ice sheet,EFLX_LH_TOT_iav_Ice sheet,3,EFLX_LH_TOT,iav
8,upplim_destruct_metamorph,Ice sheet,EFLX_LH_TOT_iav_Ice sheet,4,EFLX_LH_TOT,iav
9,xdrdt,Ice sheet,EFLX_LH_TOT_iav_Ice sheet,5,EFLX_LH_TOT,iav
10,kmax,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,1,EFLX_LH_TOT,mean
11,liq_canopy_storage_scalar,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,2,EFLX_LH_TOT,mean
12,maximum_leaf_wetted_fraction,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,3,EFLX_LH_TOT,mean
13,psi50,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,4,EFLX_LH_TOT,mean
14,medlynintercept,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,5,EFLX_LH_TOT,mean
15,maximum_leaf_wetted_fraction,Tropical rain forest,EFLX_LH_TOT_iav_Tropical rain forest,1,EFLX_LH_TOT,iav
16,cv,Tropical rain forest,EFLX_LH_TOT_iav_Tropical rain forest,2,EFLX_LH_TOT,iav
17,kmax,Tropical rain forest,EFLX_LH_TOT_iav_Tropical rain forest,3,EFLX_LH_TOT,iav
18,fff,Tropical rain forest,EFLX_LH_TOT_iav_Tropical rain forest,4,EFLX_LH_TOT,iav
19,dleaf,Tropical rain forest,EFLX_LH_TOT_iav_Tropical rain forest,5,EFLX_LH_TOT,iav
20,kmax,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,1,EFLX_LH_TOT,mean
21,fff,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,2,EFLX_LH_TOT,mean
22,medlynintercept,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,3,EFLX_LH_TOT,mean
23,medlynslope,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,4,EFLX_LH_TOT,mean
24,liq_canopy_storage_scalar,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,5,EFLX_LH_TOT,mean
25,frac_sat_soil_dsl_init,Tropical seasonal forest/savanna,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,1,EFLX_LH_TOT,iav
26,sand_pf,Tropical seasonal forest/savanna,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,2,EFLX_LH_TOT,iav
27,maximum_leaf_wetted_fraction,Tropical seasonal forest/savanna,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,3,EFLX_LH_TOT,iav
28,baseflow_scalar,Tropical seasonal forest/savanna,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,4,EFLX_LH_TOT,iav
29,d_max,Tropical seasonal forest/savanna,EFLX_LH_TOT_iav_Tropical seasonal forest/savanna,5,EFLX_LH_TOT,iav
30,fff,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,1,EFLX_LH_TOT,mean
31,krmax,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,2,EFLX_LH_TOT,mean
32,sand_pf,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,3,EFLX_LH_TOT,mean
33,kmax,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,4,EFLX_LH_TOT,mean
34,medlynslope,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,5,EFLX_LH_TOT,mean
35,fff,Subtropical desert,EFLX_LH_TOT_iav_Subtropical desert,1,EFLX_LH_TOT,iav
36,vcmaxhd,Subtropical desert,EFLX_LH_TOT_iav_Subtropical desert,2,EFLX_LH_TOT,iav
37,medlynslope,Subtropical desert,EFLX_LH_TOT_iav_Subtropical desert,3,EFLX_LH_TOT,iav
