,param_name,biome,criteria,rank,variable,measure
770,d_max,Temperate grassland/desert,alb_DirVis_mean_Temperate grassland/desert,1,alb_DirVis,mean
771,accum_factor,Temperate grassland/desert,alb_DirVis_mean_Temperate grassland/desert,2,alb_DirVis,mean
772,sand_pf,Temperate grassland/desert,alb_DirVis_mean_Temperate grassland/desert,3,alb_DirVis,mean
773,clay_pf,Temperate grassland/desert,alb_DirVis_mean_Temperate grassland/desert,4,alb_DirVis,mean
774,rhosvis,Temperate grassland/desert,alb_DirVis_mean_Temperate grassland/desert,5,alb_DirVis,mean
775,zsno,Temperate grassland/desert,alb_DirVis_iav_Temperate grassland/desert,1,alb_DirVis,iav
776,jmaxb0,Temperate grassland/desert,alb_DirVis_iav_Temperate grassland/desert,2,alb_DirVis,iav
777,accum_factor,Temperate grassland/desert,alb_DirVis_iav_Temperate grassland/desert,3,alb_DirVis,iav
778,wc2wjb0,Temperate grassland/desert,alb_DirVis_iav_Temperate grassland/desert,4,alb_DirVis,iav
779,zetamaxstable,Temperate grassland/desert,alb_DirVis_iav_Temperate grassland/desert,5,alb_DirVis,iav
780,snow_canopy_storage_scalar,Boreal forest,alb_DirVis_mean_Boreal forest,1,alb_DirVis,mean
781,snowcan_unload_wind_fact,Boreal forest,alb_DirVis_mean_Boreal forest,2,alb_DirVis,mean
782,maximum_leaf_wetted_fraction,Boreal forest,alb_DirVis_mean_Boreal forest,3,alb_DirVis,mean
783,tpu25ratio,Boreal forest,alb_DirVis_mean_Boreal forest,4,alb_DirVis,mean
784,jmaxb1,Boreal forest,alb_DirVis_mean_Boreal forest,5,alb_DirVis,mean
785,upplim_destruct_metamorph,Boreal forest,alb_DirVis_iav_Boreal forest,1,alb_DirVis,iav
786,snow_canopy_storage_scalar,Boreal forest,alb_DirVis_iav_Boreal forest,2,alb_DirVis,iav
787,accum_factor,Boreal forest,alb_DirVis_iav_Boreal forest,3,alb_DirVis,iav
788,e_ice,Boreal forest,alb_DirVis_iav_Boreal forest,4,alb_DirVis,iav
789,om_frac_sf,Boreal forest,alb_DirVis_iav_Boreal forest,5,alb_DirVis,iav
790,snow_canopy_storage_scalar,Tundra,alb_DirVis_mean_Tundra,1,alb_DirVis,mean
791,snowcan_unload_wind_fact,Tundra,alb_DirVis_mean_Tundra,2,alb_DirVis,mean
792,tpu25ratio,Tundra,alb_DirVis_mean_Tundra,3,alb_DirVis,mean
793,jmaxb0,Tundra,alb_DirVis_mean_Tundra,4,alb_DirVis,mean
794,nstem,Tundra,alb_DirVis_mean_Tundra,5,alb_DirVis,mean
795,zsno,Tundra,alb_DirVis_iav_Tundra,1,alb_DirVis,iav
796,fff,Tundra,alb_DirVis_iav_Tundra,2,alb_DirVis,iav
797,accum_factor,Tundra,alb_DirVis_iav_Tundra,3,alb_DirVis,iav
798,nstem,Tundra,alb_DirVis_iav_Tundra,4,alb_DirVis,iav
799,upplim_destruct_metamorph,Tundra,alb_DirVis_iav_Tundra,5,alb_DirVis,iav
800,zsno,Ice sheet,alb_DifVis_mean_Ice sheet,1,alb_DifVis,mean
801,snw_rds_refrz,Ice sheet,alb_DifVis_mean_Ice sheet,2,alb_DifVis,mean
802,zetamaxstable,Ice sheet,alb_DifVis_mean_Ice sheet,3,alb_DifVis,mean
803,xdrdt,Ice sheet,alb_DifVis_mean_Ice sheet,4,alb_DifVis,mean
804,upplim_destruct_metamorph,Ice sheet,alb_DifVis_mean_Ice sheet,5,alb_DifVis,mean
805,zsno,Ice sheet,alb_DifVis_iav_Ice sheet,1,alb_DifVis,iav
806,snw_rds_refrz,Ice sheet,alb_DifVis_iav_Ice sheet,2,alb_DifVis,iav
807,zetamaxstable,Ice sheet,alb_DifVis_iav_Ice sheet,3,alb_DifVis,iav
808,slopebeta,Ice sheet,alb_DifVis_iav_Ice sheet,4,alb_DifVis,iav
809,xdrdt,Ice sheet,alb_DifVis_iav_Ice sheet,5,alb_DifVis,iav
810,rholvis,Tropical rain forest,alb_DifVis_mean_Tropical rain forest,1,alb_DifVis,mean
811,taulvis,Tropical rain forest,alb_DifVis_mean_Tropical rain forest,2,alb_DifVis,mean
812,xl,Tropical rain forest,alb_DifVis_mean_Tropical rain forest,3,alb_DifVis,mean
813,rhosvis,Tropical rain forest,alb_DifVis_mean_Tropical rain forest,4,alb_DifVis,mean
814,medlynslope,Tropical rain forest,alb_DifVis_mean_Tropical rain forest,5,alb_DifVis,mean
815,liq_canopy_storage_scalar,Tropical rain forest,alb_DifVis_iav_Tropical rain forest,1,alb_DifVis,iav
816,fff,Tropical rain forest,alb_DifVis_iav_Tropical rain forest,2,alb_DifVis,iav
817,medlynslope,Tropical rain forest,alb_DifVis_iav_Tropical rain forest,3,alb_DifVis,iav
818,medlynintercept,Tropical rain forest,alb_DifVis_iav_Tropical rain forest,4,alb_DifVis,iav
819,kmax,Tropical rain forest,alb_DifVis_iav_Tropical rain forest,5,alb_DifVis,iav
